Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,BKR,BLK,NVDA,PFE,BKR,BLK,NVDA,PFE,BKR,BLK,NVDA,PFE,BKR,BLK,NVDA,PFE,BKR,BLK,NVDA,PFE
Date,,,,,,,,,,,,,,,,,,,,
2019-12-02,18.98681640625,429.2735595703125,5.209409713745117,28.850162506103516,19.33842399631362,434.524415942794,5.402351201166074,29.234429876997407,18.755271101461922,428.58103400013505,5.1942236511221616,28.82002252255661,19.21836334674175,434.1650046152808,5.38890734997377,29.22689563847282,3491400,379800,372036000,15645998
2019-12-03,18.28359603881836,425.81976318359375,5.169826507568359,28.669326782226562,18.806720096170395,426.21421948421084,5.173809519504258,28.78234639963269,18.275020046895825,419.6133832018664,4.988337349250284,28.511098711968376,18.712385820725743,424.83796961067765,5.02568069780475,28.601512588224466,5252300,465700,465232000,20869832
2019-12-04,19.012540817260742,426.63494873046875,5.2136430740356445,28.737131118774414,19.012540817260742,432.16632490708156,5.2758821535718665,28.82754497354797,18.377932075504724,425.7320465253825,5.185013154430562,28.548766144336142,18.455114374501047,425.7320465253825,5.253476046951107,28.804942267216404,4406600,730800,273424000,14501248
2019-12-05,18.98681640625,432.73370361328125,5.196713447570801,28.654260635375977,19.244091329808725,432.9455434491423,5.2512348378845175,28.910439896466343,18.91821008710841,425.86715707097636,5.1660915520783215,28.473429819608498,19.1411810332445,428.15306107983696,5.235550660857527,28.910439896466343,2855600,460600,184884000,13098058
2019-12-06,19.046844482421875,437.5526123046875,5.282104969024658,28.850162506103516,19.329847355637092,441.03001735302763,5.314967664062575,29.023459080514716,18.88390551601148,434.10168386597445,5.255964674519228,28.79741980698284,18.986814164722944,437.29665378862796,5.26592315329067,28.842628267578924,5339700,507000,232236000,12868708
2019-12-09,19.081146240234375,438.708740234375,5.282104969024658,28.872760772705078,19.458481725004468,439.6089717684595,5.336875652574783,28.917969226335043,18.909629664692524,434.3222696319035,5.250487796102776,28.706998462360602,18.978235967768608,436.2639502428786,5.259201227604587,28.706998462360602,4963500,372800,211880000,15641571
2019-12-10,19.1583309173584,436.0257263183594,5.327167510986328,28.993310928344727,19.664303078834028,439.45901269097857,5.378950471103247,29.068659351258926,19.021118294148415,434.9842770849542,5.259451076685321,28.774808984347082,19.595696767229036,439.344271736799,5.312229789905027,28.835085905009826,8649500,354100,256388000,19171311
2019-12-11,19.44991111755371,435.9197998046875,5.410815715789795,28.797409057617188,19.484213460737042,438.9470754408801,5.41629306936161,29.061122454782822,19.192636183011874,434.7812517646009,5.335133267212718,28.7823405861927,19.192636183011874,436.2463536226244,5.33762288704601,28.910428652195687,7882000,469600,233796000,15569372
2019-12-12,20.376094818115234,443.1658935546875,5.578363418579102,29.038515090942383,20.48757946460256,444.5515657157063,5.596537216128369,29.098792002709963,19.46706075173762,435.5756174722726,5.372974766773194,28.7597332379746,19.62999972462652,436.034581310545,5.381937018359035,28.7597332379746,7255400,535800,404348000,13414469
2019-12-13,20.2731876373291,440.0679931640625,5.5763726234436035,28.880292892456055,20.624795253761683,444.701588623412,5.70060196321055,29.14400632808763,20.230309298038804,437.3143178863115,5.52234886297183,28.68439364702106,20.573340919472567,442.6981199021695,5.581351863779955,29.023452480212583,4890600,455600,454704000,16678496
2019-12-16,20.539037704467773,443.1040344238281,5.605251789093018,29.4905948638916,20.79631100071054,447.3051689369815,5.677698174504892,29.686497108654347,20.3503690938996,442.3714970119556,5.595791421672846,29.12893337587215,20.479005742020984,444.4808718478124,5.623923704351563,29.1590733479308,5239300,426900,320976000,24187824
2019-12-17,20.89922332763672,443.31585693359375,5.68342399597168,29.309770584106445,20.90779768739987,445.9018375260326,5.70607892251865,29.71664060522473,20.47043336850814,441.38298390709025,5.614462988372366,29.264562130771512,20.53046370107352,444.4102592191054,5.623923355205215,29.71664060522473,4806600,425100,321196000,29038016
2019-12-18,21.20794677734375,440.8447265625,5.7137956619262695,29.30223274230957,21.353735399944767,444.09267717239896,5.7742920458440015,29.445392322018716,20.796308890836258,439.67972861305304,5.709812175288023,29.11386774427429,20.907793538376538,444.09267717239896,5.718276787615283,29.392649637857208,5406800,542900,343548000,27339390
2019-12-19,21.413766860961914,443.36004638671875,5.86192512512207,29.362510681152344,21.482373179033377,444.70157285190504,5.875368978519041,29.498136029177296,21.105039247492158,440.42984251682867,5.7434219640030655,29.241956835873136,21.105039247492158,440.71227764670886,5.748401204138719,29.385116420547064,4404500,428300,445360000,22022276
2019-12-20,21.516674041748047,440.93292236328125,5.959267616271973,29.55841636657715,21.679614636973756,446.90804408718924,5.984660982864215,29.791989847470358,21.336581460561018,440.78289721891,5.9092273417946535,29.36251407328082,21.499522055786727,446.90804408718924,5.928396895234988,29.648830246257802,10048100,967600,603044000,58199772
