id	age	employees	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage
7647	26	72	5809	9124	1747	123	.0034429333	.02117404	.01348093	.008067769	2.3432837
9406	26	40	2523	2537	504	131	.019817678	.051922314	.051635791	.45871559	23.14679
9368	30	17	3577	2773	1064	342	.098965615	.09561085	.12333213	.20391706	2.0604839
9342	32	100	13781	15024	4259	723	.020898338	.052463535	.048123002	.10650887	5.0965238
9718	31	10	424	732	318	29	.030660378	.068396226	.039617486	-.15476191	-5.0476189
9435	5	290	28390	57082	12056	1284	.024832688	.045227192	.022493957	.18359375	7.393229
9328	39	33	3927	2624	966	32	.0045836517	.008148714	.012195121	.007395234	1.6133935
8594	17	24	1579	1602	971	126	.060797974	.079797342	.078651689	.14656489	2.410687
9389	28	24	3983	3818	1351	-309	-.1149887	-.077579714	-.080932423	-2.4232805	21.074074
7277	24	80	11592	17201	3999	159	.0094030369	.013716356	.0092436485	.027195608	2.8922155
9315	49	15	2999	2318	827	229	.093697898	.076358788	.098792061	.15380405	1.6414888
7659	15	16	2370	2654	700	258	.1	.10886076	.097211756	.75	7.5
9401	17	22	792	888	679	55	.023989899	.069444448	.061936937	.42222223	17.6
6940	13	15	849	595	279	11	-.015312131	.012956419	.018487396	-.095588237	6.2426472
7279	48	64	26382	50632	6345	243	.0047759837	.0092108259	.0047993362	.013282732	2.7811511
8593	37	29	1016	1444	683	76	.035433073	.074803151	.052631579	.2208589	6.233129
9403	16	15	13689	13298	1214	498	.013952808	.036379576	.037449241	.052530251	3.7648516
9402	17	39	9101	9216	2135	326	.030216459	.035820238	.035373263	.29891303	9.8923912
9432	37	34	5462	5130	1780	273	.027645551	.049981691	.053216375	.2972441	10.751968
9339	33	18	2851	3076	1005	214	.023500526	.075061381	.069570869	.20872274	8.8816204
9711	19	17	4375	2152	968	250	.018285714	.057142857	.116171	.065573767	3.5860655
9725	26	12	2795	1712	717	77	-.0067978534	.027549194	.044976637	-.028231798	4.1530461
6931	26	21	3530	5893	882	164	.040509917	.046458922	.027829628	.065989845	1.6289802
9411	14	12	2852	6593	1250	300	.10518934	.10518934	.045502804	.48780489	4.6373982
7275	31	32	8370	8183	1481	332	.026403824	.039665472	.040571917	.07092426	2.686136
9312	50	265	36517	99188	33950	2187	.06314867	.059889913	.022049038	.097965077	1.5513403
8587	31	14	1524	1905	596	85	.022309711	.055774279	.044619422	.15962441	7.1549296
9334	74	32	5433	4603	1287	117	.0055218111	.021535063	.025418205	.012484395	2.2609239
9373	24	28	2707	2533	1520	194	.043960102	.071666054	.076589026	.1401649	3.188457
6943	12	20	932	1648	650	-26	-.043991417	-.027896997	-.015776699	-.21465969	4.879581
9715	10	100	5084	10956	3456	270	.033634935	.053107791	.02464403	1.2481751	37.109489
9340	33	11	1029	1415	448	71	.065111756	.06899903	.05017668	.11336718	1.7411168
6933	20	15	978	1203	363	-45	-.065439671	-.046012271	-.037406486	-3.7647059	57.529411
9422	6	210	156668	104485	22438	7856	.030191232	.050144255	.075187825	.07655704	2.5357375
8583	30	30	7934	9636	2069	388	.059868917	.048903454	.040265672	.14646932	2.4465001
7671	4	20	1703	2866	847	135	.032883149	.079271875	.047103979	2.8	85.150002
9331	38	30	6479	6878	3438	1405	.22102176	.21685445	.20427451	.28072926	1.2701432
